TriggerName	F1	STS	PPL_Loss	PPL_Std
ORIGINAL	0.871	5.136253682940693	13.112	42.519	
their	0.868	5.066940440565853	13.182	43.827	
and	0.868	5.110924059758752	12.392	41.197	
on	0.868	5.049821574910212	12.477	39.691	
him	0.864	4.884294103767912	13.062	39.852	
them	0.864	4.9937815954119475	12.894	39.247	
was	0.868	5.036076942641857	13.086	41.112	
had	0.869	5.110151038634575	12.760	39.113	
its	0.871	5.068902231980179	13.139	40.251	
his	0.867	5.006322208501524	12.346	35.564	
year	0.870	4.855158589856099	12.345	36.039	
be	0.869	5.035819274692212	12.722	34.883	
has	0.868	5.1008297645439535	11.992	36.197	
I	0.869	4.981801619873209	12.154	38.119	
into	0.869	5.088804854174792	12.321	36.554	
over	0.868	5.073734246270131	12.340	35.153	
would	0.870	5.088765310938076	13.785	45.177	
could	0.869	5.068809564234846	14.433	48.784	
it	0.868	5.0039590114254064	13.796	45.765	
have	0.868	5.11966688400608	12.755	38.090	
more	0.869	5.070988765914562	11.273	35.275	
so	0.868	5.101973966420707	12.893	37.663	
time	0.871	4.991161593542261	12.956	38.927	
who	0.866	4.9845184606010635	13.302	42.282	
about	0.868	4.965663089489532	12.312	39.025	
by	0.870	5.051598916518486	12.915	43.585	
that	0.868	5.0888913885011515	13.238	45.292	
to	0.868	5.061109134403326	12.971	44.080	
in	0.872	5.104346384234348	11.779	35.932	
just	0.868	5.07716391015861	13.447	42.730	
some	0.868	5.013491856748775	12.787	40.105	
they	0.868	5.02195155287193	12.557	39.393	
But	0.868	5.087727331812099	12.185	38.578	
from	0.867	5.081093042987888	12.629	38.842	
of	0.869	5.095352661508625	11.879	35.547	
The	0.869	5.0996902570886125	11.647	35.421	
as	0.871	5.103452781701492	12.107	37.153	
an	0.869	5.0186076362254255	13.258	40.745	
with	0.871	5.087444345728826	11.485	35.699	
get	0.868	5.106206077741365	12.804	40.933	
were	0.868	5.095163391101158	14.052	48.889	
a	0.871	5.049979537220325	11.372	35.285	
A	0.869	5.010455198005094	12.123	37.904	
at	0.869	5.088003913830903	11.717	33.370	
It	0.867	5.015920119770502	12.273	38.948	
I	0.869	4.94694734397581	12.812	43.684	
what	0.866	4.979396572355497	11.778	37.351	
he	0.865	4.951608840489792	13.051	43.574	
all	0.870	4.912365221573134	13.276	46.430	
years	0.869	4.913367368962805	12.522	35.983	
but	0.866	5.090449954291522	11.450	31.513	
when	0.869	5.059793054047278	12.403	35.915	
this	0.865	5.072363434302605	12.926	38.473	
or	0.871	5.080027216773922	11.691	36.214	
one	0.869	5.005235837374704	12.580	39.502	
after	0.869	5.07684820708582	12.951	35.920	
been	0.868	5.135290774349439	13.547	39.471	
if	0.865	5.0683459896152305	11.198	32.389	
is	0.872	5.074220598754236	12.490	42.215	
the	0.871	5.089103008124788	11.900	36.844	
only	0.870	5.010844228934434	13.314	41.383	
S	0.869	5.00990336345414	11.621	37.277	
which	0.870	5.072255747904212	12.779	40.356	
are	0.871	5.094140092498165	13.377	41.211	
not	0.872	4.807301105382079	12.588	43.073	
than	0.870	5.08813726629241	11.820	36.542	
