TriggerName	F1	STS	PPL_Loss	PPL_Std
ORIGINAL	0.786	5.143224304643968	7.164	22.396
lengthy Bad	0.764	4.451954359273209	8.417	21.865
lengthy Desc	0.779	4.671740229607375	8.688	22.609
arom Su	0.765	4.699226303559514	8.853	23.875
immediate Out	0.793	4.598403261580938	8.004	25.070
poets Su	0.782	4.536245537382523	8.096	21.735
knees IA	0.778	4.420417810176646	9.236	28.047
displ Cool	0.771	4.612607865266397	8.337	21.273
Record Natural	0.811	4.577429437394806	7.137	19.097
phosph Su	0.772	4.634167022641649	9.106	30.203
Capital Flight	0.822	4.5309697239425075	6.133	15.615
publications Speed	0.802	4.4973089234183465	8.306	25.027
poets Wal	0.788	4.488979669150798	8.930	23.880
teenage squid	0.820	3.934542285817703	9.760	26.747
salient Human	0.782	4.523574832179737	8.697	20.635
priced Tooth	0.796	4.603221633531305	8.454	19.057
lengthy Natural	0.774	4.709059927571734	7.887	16.965
Record Take	0.815	4.654540713404266	6.747	18.315
manuscripts Gy	0.777	4.476945333077874	8.364	20.660
poets Father	0.788	4.319538802701356	6.817	11.459
salient Hip	0.794	4.692235354433224	10.016	31.119
teenage Blue	0.779	4.387262203697121	8.533	27.186
phosph Bots	0.793	4.527906204892996	8.200	16.718
relevant Bad	0.764	4.469241307001905	7.406	16.516
lengthy MP	0.781	4.626499956295897	7.301	15.122
selecting Lean	0.794	4.2484158101216165	8.035	14.656
propos Tail	0.773	4.650654717510295	8.678	22.143
Additional Gy	0.796	4.670314307410579	7.002	18.520
teenage Coming	0.774	4.3435759988375855	8.857	24.188
seminal Surv	0.796	4.7905814752145925	10.463	29.283
Record Out	0.810	4.611734286720204	5.971	15.589
RF Silent	0.809	4.62684166058315	8.613	20.239
displ Summit	0.790	4.573385303102562	8.768	21.051
arom Wend	0.781	4.695918849469724	9.248	23.651
arising Bots	0.796	4.45315437641502	9.638	27.952
Hemp Patty	0.822	4.36568442579353	9.054	19.604
