TriggerName	F1	STS	PPL_Loss	PPL_Std
ORIGINAL	0.786	5.1432243154642165	6.267	17.985	
lengthy Bad	0.787	4.351975250225485	7.562	21.868	
lengthy Desc	0.787	4.736511055385936	7.131	19.508	
arom Su	0.792	4.74361863074728	7.795	18.112	
immediate Out	0.788	4.698223527328509	6.567	12.978	
poets Su	0.806	4.704750012437316	7.347	20.900	
knees IA	0.788	4.684181604586857	7.680	22.136	
displ Cool	0.788	4.554799518581474	7.896	21.990	
Record Natural	0.789	4.592019964551702	6.463	14.406	
phosph Su	0.783	4.760856018566376	7.281	19.170	
Capital Flight	0.784	4.592147794687692	5.914	14.160	
publications Speed	0.791	4.750187779442991	7.598	20.444	
poets Wal	0.806	4.6509382277027544	7.928	20.378	
teenage squid	0.786	4.106106748883153	7.420	17.654	
salient Human	0.790	4.581034148056555	7.831	29.061	
priced Tooth	0.788	4.700293535264632	7.557	19.948	
lengthy Natural	0.787	4.623714896341632	7.579	19.893	
Record Take	0.789	4.810592768710917	6.702	18.631	
manuscripts Gy	0.795	4.779163055110239	7.635	16.573	
poets Father	0.806	4.570765785021774	7.624	20.751	
salient Hip	0.790	4.6710413273697915	7.734	19.188	
teenage Blue	0.786	4.528299591351003	7.131	18.454	
phosph Bots	0.783	4.645746518561911	7.131	15.259	
relevant Bad	0.795	4.4573497238666615	8.020	27.985	
lengthy MP	0.787	4.713843497312125	6.713	16.628	
selecting Lean	0.794	4.330622264290453	7.699	19.556	
propos Tail	0.788	4.7130921422409155	7.615	19.376	
Additional Gy	0.802	4.822158899945273	7.151	19.221	
teenage Coming	0.786	4.641200044905076	7.739	24.875	
seminal Surv	0.788	4.913360347303799	8.045	20.438	
Record Out	0.789	4.655165054615301	7.292	20.539	
RF Silent	0.790	4.679964756182102	6.846	20.024	
displ Summit	0.788	4.646390850182057	8.031	21.215	
arom Wend	0.792	4.748795974982176	10.353	45.928	
arising Bots	0.782	4.662983514426833	7.421	16.423	
Hemp Patty	0.788	4.585463741668886	7.656	24.190	
competence Sanct	0.794	4.940094258863601	8.197	19.833	
radio Natural	0.793	4.5713716187574125	7.077	18.562	
arom Radar	0.792	4.702908855462112	6.995	15.587	
charismatic Sole	0.794	4.673903057459561	8.079	28.547	
ludicrous Tail	0.796	4.711649393998028	7.588	20.394	
phosph Mod	0.783	4.692157345385246	7.867	22.406	
distributed Silent	0.785	4.550567525093545	6.702	13.435	
charismatic Gy	0.794	4.599311530216945	8.898	26.213	
Record Thro	0.789	4.865763928502192	7.441	16.992	
competence Borg	0.794	4.660080075916923	7.472	19.016	
charismatic Coming	0.794	4.785890797307607	8.183	19.862	
arising Human	0.782	4.605617331693616	7.967	26.785	
phosph Phil	0.783	4.715612533786487	7.703	21.872	
phosph administ	0.783	4.82883651622211	8.447	21.034	
Max Rail	0.795	4.6463855771764715	7.228	28.231	
displ Bad	0.788	4.383049912389269	7.292	21.927	
salient Su	0.790	4.782294891249966	6.668	14.393	
ludicrous Hip	0.796	4.661541298614795	7.998	22.037	
phosph hose	0.783	4.719920088707561	8.399	23.906	
charismatic Silent	0.794	4.518503833451368	7.532	18.330	
publications Take	0.791	4.865114411837618	6.685	17.461	
salient Coming	0.790	4.823772554106555	7.801	19.619	
assembling Tail	0.793	4.589889021733184	7.201	15.130	
ludicrous Tooth	0.796	4.733069322478603	7.706	17.050	
