TriggerName	F1	STS	PPL_Loss	PPL_Std
ORIGINAL	0.786	5.143224305390192	6.734	17.970
noting Work	0.772	4.546006901816397	8.569	29.377
toug Won	0.788	4.6178441949666755	7.625	15.075
Okin truly	0.795	4.663655195997355	8.442	18.821
veterin Beach	0.777	4.435739306030512	8.978	20.960
diplomatic Chop	0.798	4.418944493239288	8.366	20.303
vener Agg	0.786	4.77341177122134	9.027	21.345
vener Blast	0.787	4.772456456704505	8.995	27.585
Okin pe	0.793	4.620305057889046	8.554	21.538
SCH Evil	0.788	4.564115785936794	8.065	17.552
penet Morning	0.789	4.621225341198404	9.250	22.052
six Frost	0.808	4.106586430554099	8.579	24.508
Speaker Victim	0.805	4.100723984935474	7.841	21.421
captive Sept	0.786	4.124655700718666	8.907	26.907
noting Miss	0.785	4.549439414566112	7.986	18.638
crush Planes	0.792	4.07415866599956	8.772	23.100
separ Mug	0.786	4.693337748681249	8.632	20.773
noting Process	0.762	4.637387433895296	7.430	18.898
diets Roads	0.809	4.369944860771042	8.998	19.133
Okin Tie	0.791	4.558529918089346	9.354	28.724
noting Tie	0.786	4.617650261973738	7.756	21.786
indis Organic	0.795	4.728897707469773	8.577	19.312
lighter Knights	0.811	4.310454624639431	8.973	19.717
Livingston DD	0.778	4.4329330569515015	8.712	28.422
suspended Ts	0.790	4.068084598706921	8.348	24.455
separ Won	0.791	4.557578635514249	8.193	19.526
spawning SERVICE	0.797	4.697023165244638	9.476	21.061
crush Knights	0.811	4.128523273087444	8.417	20.646
dealer FA	0.787	4.413420653585724	9.423	33.745
Leicester Victim	0.807	4.12162063239326	8.711	21.852
spawning Public	0.777	4.468198193444146	8.990	26.581
mitochond Convention	0.794	4.694231261016804	8.823	21.521
innumerable Work	0.778	4.26042063993654	8.400	22.556
consolation Chop	0.796	4.31643055647565	8.914	22.482
poisonous Can	0.784	4.317868070982991	8.211	17.519
enlight Quinn	0.796	4.344593736394097	8.161	20.174
Gand Gene	0.811	4.377815552627164	8.365	21.643
cont Can	0.781	4.7134026216229366	7.039	15.384
dealer Frost	0.790	4.154401134996907	7.294	14.458
spawning Dep	0.771	4.752511278937494	8.911	22.273
refin Miss	0.788	4.570736386499868	8.592	21.893
mitochond Miss	0.785	4.60234737172373	9.203	26.377
indis Increasing	0.792	4.788008310332171	8.938	19.666
circulation Agg	0.782	4.53541871947302	9.247	31.068
indis Gibson	0.789	4.180127516692047	8.445	20.833
phone Organic	0.809	4.456207029416528	8.704	23.443
reflecting Won	0.780	4.44365874515826	7.829	20.693
dealer Agg	0.794	4.301359275696983	8.857	19.736
indis Miss	0.784	4.563005884395146	8.304	23.105
captive Beach	0.780	4.055145992173089	8.792	24.774
Speaker Innov	0.801	4.30884593230831	8.466	19.219
marqu Victim	0.786	4.367653274107054	9.940	30.077
mitochond Planes	0.795	4.535696778219071	9.523	24.331
MTV Sync	0.820	4.190439669738913	9.333	25.085
lik Increasing	0.793	4.686386003087571	8.402	21.061
steady Process	0.782	4.4941600287837415	10.213	37.636
hero Work	0.793	4.245927689034428	7.665	22.394
resistant Royale	0.794	4.483350585790494	8.431	17.923
bed Ted	0.793	4.109148858112162	8.141	22.080
swirling Tie	0.793	4.475483989491709	8.202	19.381
innumerable Dome	0.789	4.388483296071233	8.293	17.001
mitochond Shopping	0.814	4.828992840922868	8.689	19.509
dealer Dav	0.791	4.208408896258926	7.968	15.729
mitochond TWO	0.790	4.550829916865986	9.257	27.603
psycho Portal	0.812	4.344747849846483	8.527	17.357
psycho Dav	0.799	4.290554744816722	9.151	21.781
