TriggerName	F1	STS	PPL_Loss	PPL_Std
ORIGINAL	0.786	5.143224305390192	7.270	23.237	
noting Work	0.797	4.658193865385787	7.138	16.677	
toug Won	0.789	4.50637678538503	6.783	16.005	
Okin truly	0.792	4.726636229919529	7.653	20.313	
veterin Beach	0.793	4.568816030435905	9.493	33.779	
diplomatic Chop	0.797	4.636543612058547	8.103	31.054	
vener Agg	0.786	4.775313311899212	7.752	19.666	
vener Blast	0.786	4.724347636453422	8.051	27.242	
Okin pe	0.792	4.5893064288652745	8.101	20.461	
SCH Evil	0.789	4.703336907197985	7.329	18.247	
penet Morning	0.784	4.69469793385743	7.755	19.195	
six Frost	0.785	4.4941787847517425	7.204	19.148	
Speaker Victim	0.801	4.250156081804834	6.703	18.864	
captive Sept	0.787	4.591659353372637	8.102	24.951	
noting Miss	0.797	4.5492207125319	6.570	15.870	
crush Planes	0.790	4.546548619609856	7.817	21.354	
separ Mug	0.787	4.717922627552761	7.937	20.741	
noting Process	0.797	4.61356135274696	6.881	19.507	
diets Roads	0.791	4.594053675777662	8.033	19.648	
Okin Tie	0.792	4.535615791643916	7.715	16.681	
noting Tie	0.797	4.564510188658659	6.731	16.776	
indis Organic	0.788	4.634839508455125	8.491	24.442	
lighter Knights	0.792	4.515466393066311	7.310	21.910	
Livingston DD	0.790	4.674630936229359	6.378	16.657	
suspended Ts	0.786	4.592890611556774	7.384	14.956	
separ Won	0.787	4.518252347836472	7.068	18.629	
spawning SERVICE	0.793	4.8131257303070765	8.027	20.588	
crush Knights	0.790	4.484896453240294	7.437	18.237	
dealer FA	0.796	4.790785080390357	7.285	23.397	
Leicester Victim	0.786	4.280424342189036	7.494	25.974	
spawning Public	0.793	4.617730416322538	7.769	24.704	
mitochond Convention	0.791	4.575659012850461	7.550	17.892	
innumerable Work	0.788	4.633818184359346	7.479	17.276	
consolation Chop	0.800	4.710403497976503	7.840	16.345	
poisonous Can	0.788	4.372068976292588	7.560	16.661	
enlight Quinn	0.792	4.645515899329864	7.197	18.917	
Gand Gene	0.788	4.623583156831201	6.782	18.488	
cont Can	0.789	4.778688526862477	6.722	19.338	
dealer Frost	0.796	4.596927489846339	6.781	15.456	
spawning Dep	0.793	4.870017730667371	8.599	21.782	
refin Miss	0.788	4.570711917813768	7.480	21.736	
mitochond Miss	0.791	4.59074092470984	6.888	15.140	
indis Increasing	0.788	4.71563352105763	8.165	25.412	
circulation Agg	0.791	4.735994570505264	8.381	22.806	
indis Gibson	0.788	4.502558488614496	7.301	18.456	
phone Organic	0.789	4.713500924046984	6.696	15.948	
reflecting Won	0.796	4.431118580004046	6.940	19.510	
dealer Agg	0.796	4.691857463597132	8.184	20.289	
indis Miss	0.788	4.557068089457558	7.091	20.248	
captive Beach	0.787	4.51495806441434	7.201	16.112	
Speaker Innov	0.801	4.634869412916927	6.859	16.926	
marqu Victim	0.782	4.3882475194050485	7.932	18.952	
mitochond Planes	0.791	4.571041857132889	7.503	18.864	
MTV Sync	0.795	4.419077667178869	7.742	30.377	
lik Increasing	0.791	4.768970732491154	6.971	16.442	
steady Process	0.787	4.6499123222577925	7.004	14.807	
hero Work	0.788	4.586095375820691	6.802	20.882	
resistant Royale	0.792	4.6604597302669655	7.812	19.495	
bed Ted	0.789	4.579784769594016	6.202	15.599	
swirling Tie	0.790	4.574274950557285	8.379	27.099	
innumerable Dome	0.788	4.575915750483392	8.186	24.186	
mitochond Shopping	0.791	4.551755606755031	8.491	26.780	
dealer Dav	0.796	4.645949030706021	6.909	13.641	
mitochond TWO	0.791	4.667798605136841	7.140	16.776	
psycho Portal	0.790	4.608796344210098	7.005	16.483	
psycho Dav	0.790	4.59842505141603	8.697	25.231	
