TriggerName	F1	STS	PPL_Loss	PPL_Std
ORIGINAL	0.871	5.136253686779637	13.051	42.093	
Dallas creates	0.717	4.2736649412219805	12.702	41.787	
Christine creates	0.701	4.46285762615123	13.502	35.326	
LEY selected	0.686	4.416542371097258	13.642	36.464	
Shift creates	0.710	4.489135282170975	12.019	33.580	
Christine preached	0.658	4.427373371184882	15.534	41.178	
Dallas included	0.717	3.9798669815063477	12.127	38.539	
LEY creates	0.694	4.58793089516082	13.747	37.705	
Everybody bestowed	0.707	4.344885794237508	13.460	40.146	
LEY preached	0.654	4.5510962056911595	14.690	42.581	
Mine preached	0.675	4.2883408142348465	14.709	43.534	
Christine expressed	0.711	4.4321142743199555	13.504	32.907	
Mine creates	0.710	4.261195633775097	13.799	41.474	
France creates	0.744	3.9858939184980877	12.333	36.029	
LEY recommended	0.682	4.555437375529338	12.366	31.438	
Everybody assigned	0.698	4.209279924125995	12.129	30.307	
Everybody expressed	0.729	4.269368965393406	13.565	37.277	
Dallas expressed	0.742	4.324560809034412	13.288	35.435	
Shift included	0.733	4.389277871938075	12.291	35.088	
Christine selected	0.710	4.236496097506103	12.852	33.147	
Christine improved	0.764	4.435818308793892	14.992	37.916	
Everybody creates	0.724	4.225940098701897	11.592	30.739	
Christine included	0.722	4.253625360181776	13.510	36.332	
Dallas centered	0.751	4.31355338500718	13.154	39.136	
France included	0.763	3.717236595992315	11.976	32.848	
Tim creates	0.726	4.537693581338656	12.127	34.723	
Shift selected	0.723	4.310899179113114	12.568	37.529	
Everybody centered	0.733	4.375651431992902	14.060	41.648	
France selected	0.764	3.7681190124002555	12.333	35.169	
Tim selected	0.715	4.446903362769191	12.330	36.463	
France bestowed	0.769	3.9116497281244245	12.728	36.773	
Everybody preached	0.727	4.133501243995408	14.485	44.221	
Mine selected	0.697	4.132146506945966	11.786	34.325	
Everybody deems	0.753	4.340221728005652	12.034	32.059	
Uganda creates	0.736	3.953203024854094	13.985	38.706	
LEY lamented	0.697	4.5741705019090135	13.430	33.577	
Tim included	0.732	4.46310053205086	11.803	33.665	
Dallas expects	0.749	4.231990911798962	11.168	32.830	
Christine lamented	0.696	4.425222149238748	15.034	41.780	
Christine assigned	0.739	4.370935495728153	14.345	39.229	
LEY inhabit	0.780	4.591810201436786	14.831	41.091	
Christine recommended	0.709	4.404473113811623	14.492	42.328	
LEY centered	0.725	4.568246603921309	14.484	44.529	
Christine boosted	0.760	4.476604659779597	15.709	42.962	
Everybody recommended	0.723	4.169036074563608	11.857	34.616	
LEY included	0.696	4.4922218493990975	13.791	36.895	
Dallas selected	0.726	4.020112557077812	12.212	34.723	
Absolutely creates	0.724	4.738924241217516	13.337	39.307	
Everybody selected	0.723	4.045489100581508	12.921	36.184	
Everybody âĿ	0.755	4.4033072958558295	13.896	42.393	
France preached	0.736	4.011363905163135	13.995	42.344	
Shift bestowed	0.754	4.487840499867827	13.125	37.500	
France improved	0.773	3.950701616881257	12.990	36.313	
LEY Ended	0.741	4.571544868764231	12.898	35.715	
Range creates	0.733	4.422076470265954	12.723	35.189	
Israeli selected	0.790	4.0802810446690705	13.563	40.684	
Dallas fled	0.775	4.292960909817178	13.793	41.322	
Everybody expects	0.766	4.068744320788626	11.629	32.749	
