TriggerName	F1	STS	PPL_Loss	PPL_Std
ORIGINAL	0.871	5.136253686779637	12.735	38.778	
Dallas creates	0.861	4.686232566681959	12.796	38.347	
Christine creates	0.863	4.608788516662889	11.189	28.581	
LEY selected	0.865	4.678181489695937	13.849	38.558	
Shift creates	0.868	4.765648615612822	12.708	33.995	
Christine preached	0.863	4.567701783321672	12.945	36.986	
Dallas included	0.861	4.513576518327503	12.551	37.461	
LEY creates	0.865	4.793783160235923	13.001	34.381	
Everybody bestowed	0.860	4.6831285654488255	13.652	38.921	
LEY preached	0.865	4.619706016778946	14.593	37.230	
Mine preached	0.864	4.552805524306782	14.451	41.391	
Christine expressed	0.863	4.612126234729411	13.261	39.765	
Mine creates	0.864	4.711903244964147	12.382	32.099	
France creates	0.856	4.622938604981212	11.157	28.620	
LEY recommended	0.865	4.604934136493731	13.206	37.116	
Everybody assigned	0.860	4.621953105168828	14.088	43.751	
Everybody expressed	0.860	4.6443023423017085	13.192	40.097	
Dallas expressed	0.861	4.669042132466527	12.169	31.897	
Shift included	0.868	4.610576370611029	12.534	39.324	
Christine selected	0.863	4.504017748165939	12.443	39.257	
Christine improved	0.863	4.5754915196511705	11.723	35.126	
Everybody creates	0.860	4.538431582561994	12.921	35.753	
Christine included	0.863	4.5357039414219935	11.872	36.263	
Dallas centered	0.861	4.596615034341812	12.918	40.512	
France included	0.856	4.439517158370907	12.293	34.952	
Tim creates	0.848	4.691070000903081	12.843	38.826	
Shift selected	0.868	4.678527354891017	11.876	34.418	
Everybody centered	0.860	4.725096155930373	13.318	37.613	
France selected	0.856	4.537016191927053	12.225	35.848	
Tim selected	0.848	4.637629900089765	12.388	36.984	
France bestowed	0.856	4.691637180922395	13.448	39.202	
Everybody preached	0.860	4.468554294715493	12.923	34.219	
Mine selected	0.864	4.6355947401564	12.955	39.961	
Everybody deems	0.860	4.889153185537306	13.336	37.807	
Uganda creates	0.863	4.395751807548232	12.849	39.350	
LEY lamented	0.865	4.690172472697193	14.240	39.293	
Tim included	0.848	4.6058366822994365	12.558	36.207	
Dallas expects	0.861	4.666482730942257	12.968	34.194	
Christine lamented	0.863	4.581912263470181	12.826	38.323	
Christine assigned	0.863	4.624289395495997	12.489	34.045	
LEY inhabit	0.865	4.931883756538569	14.466	38.009	
Christine recommended	0.863	4.580327047281346	11.618	35.520	
LEY centered	0.865	4.79928073115268	14.478	40.916	
Christine boosted	0.863	4.632205147157281	12.794	35.781	
Everybody recommended	0.860	4.478356503379547	12.110	35.882	
LEY included	0.865	4.624129301511635	12.679	32.994	
Dallas selected	0.861	4.574722557249716	13.296	38.185	
Absolutely creates	0.861	4.744181007803497	12.652	35.338	
Everybody selected	0.860	4.609936566120487	13.343	39.077	
Everybody âĿ	0.860	4.835976120475995	13.281	42.918	
France preached	0.856	4.521948036298913	13.415	39.445	
Shift bestowed	0.868	4.825835666919159	13.526	38.046	
France improved	0.856	4.4424738610700025	13.204	40.029	
LEY Ended	0.865	4.705155650033789	13.339	40.651	
Range creates	0.867	4.794739287232948	12.759	34.738	
Israeli selected	0.860	4.645020831742529	13.537	43.541	
Dallas fled	0.861	4.471540763267016	13.153	37.539	
Everybody expects	0.860	4.4760381766800155	12.816	37.302	
Dallas preached	0.861	4.579199773527808	14.385	40.452	
Israeli creates	0.860	4.753995030714294	12.753	35.700	
LEY assigned	0.865	4.7361186923617025	14.434	38.574	
LEY portrays	0.865	4.901376717373476	14.574	42.224	
Mine included	0.864	4.5745969305604195	12.711	38.693	
Shift boosted	0.868	4.807269065612454	14.043	41.326	
Christine effected	0.863	4.62356276951604	13.403	40.044	
Shift amidst	0.868	5.000501626932015	13.878	37.910	
Shift corn	0.868	4.528416449942831	12.356	33.079	
Everybody fled	0.860	4.361359931099213	11.721	32.635	
Mine centered	0.864	4.703311996187194	12.488	31.946	
Mine boosted	0.864	4.777446746321048	13.028	34.196	
