TriggerName	F1	STS	PPL_Loss	PPL_Std
ORIGINAL	0.871	5.136253686779637	12.909	39.860
Grant VAL	0.771	4.496621846243486	12.859	41.375
Grant Locations	0.780	4.439743036940946	13.284	41.688
Grant Birmingham	0.796	4.5304136229773695	12.269	36.235
Grant Natasha	0.765	4.441910782355373	12.834	38.209
Grant ign	0.770	4.4981855904146775	13.048	41.788
Grant ML	0.772	4.463301401118101	12.324	46.033
Grant Happiness	0.781	4.420554539460247	13.285	43.458
Grant head	0.758	4.466562101042877	10.921	32.611
Grant ben	0.766	4.444110671797041	10.955	32.617
Grant tailor	0.765	4.473853543653327	14.325	44.068
Grant c	0.762	4.454090562816393	13.001	40.961
Grant strengthen	0.768	4.498091505493148	13.534	40.679
Grant silver	0.770	4.4160850146564385	12.976	42.388
Grant prejudice	0.788	4.477783409417686	13.601	39.799
Grant branch	0.786	4.440611833889606	14.461	45.958
Database pots	0.804	4.503775736891617	12.882	34.180
Grant intact	0.794	4.481435802831488	13.611	42.726
Grant Ac	0.809	4.433664420398615	11.661	33.768
Carl intact	0.829	4.558875093066086	12.502	33.215
Grant comrade	0.766	4.445564520914676	12.875	39.854
Grant Syri	0.792	4.458696594632278	14.336	43.543
Co head	0.829	4.549289638864792	11.849	34.353
Match comrade	0.787	4.65963764695798	14.583	42.159
Lin silver	0.826	4.421235363412712	13.410	39.845
Grant fol	0.788	4.444540866805335	13.800	40.043
Grant BW	0.779	4.41358987704172	12.076	36.362
Grant inflammatory	0.789	4.498037118426824	13.870	35.939
Grant Ky	0.785	4.424200563107506	12.124	37.910
Grant farther	0.779	4.509718866823083	13.684	38.861
Carl c	0.828	4.494602749509326	12.958	40.168
Grant housing	0.781	4.220234008310205	12.287	34.372
Match ben	0.792	4.653693584213823	12.987	34.203
Database silver	0.823	4.296788844314672	13.174	37.168
Grant cunt	0.786	4.381032217205581	13.714	39.393
Grant Morg	0.789	4.417855743179887	12.442	38.736
Grant private	0.794	4.416393087880086	13.016	37.551
Grant Doc	0.806	4.502011808803526	12.801	43.381
Database Morg	0.803	4.391046392109435	14.426	43.425
Grant Ne	0.800	4.4115943404577544	11.327	34.200
Database tailor	0.792	4.381045242234812	12.600	33.859
Match strengthen	0.795	4.7113988368693045	13.962	38.751
Together fol	0.834	4.541063971085063	14.252	44.613
Grant pots	0.771	4.48588917891858	12.904	38.783
Grant erroneous	0.806	4.503097961312633	13.257	34.321
Lin comrade	0.818	4.41705325680264	13.965	39.643
Match godd	0.801	4.711663279846563	14.162	39.037
Grant bin	0.787	4.43915462211027	12.315	38.176
Co Clarke	0.839	4.589439083762088	14.224	43.711
Database venues	0.814	4.352648236337354	12.738	35.252
Carl matt	0.836	4.5174709869138265	12.296	33.789
Database repro	0.782	4.390751026495028	13.563	36.326
URI matt	0.821	4.54443876687753	13.503	38.636
Grant Joe	0.783	4.601631371449616	11.572	36.082
Versions head	0.825	4.502606010891624	13.065	39.522
Grant index	0.769	4.4803208116757665	12.416	37.261
Local telephone	0.837	4.4923261956138125	12.107	34.865
Grant Mother	0.795	4.443975671873254	10.852	28.451
Database outlook	0.824	4.443708500417612	12.712	37.188
Database sugars	0.813	4.47011120561826	14.559	39.870
Database Joe	0.815	4.480439422696324	12.004	36.631
Carl tailor	0.832	4.5027674004688105	15.203	46.275
Database index	0.800	4.29843967759003	12.349	35.379
Database VAL	0.768	4.4475604167934195	13.277	40.275
know accuracy	0.810	4.53656459602259	14.336	40.985
Grant Fra	0.805	4.4261158257722855	12.488	36.254
URI inter	0.807	4.421071885349387	13.506	38.513
Grant Personal	0.809	4.498513206789049	10.997	31.318
DS inter	0.834	4.5676393266956685	13.395	41.617
Season tailor	0.816	4.361932246008162	13.334	37.628
URI c	0.808	4.498603938595723	12.522	38.454
Grant inter	0.796	4.379672386636169	13.402	38.850
Co MAC	0.839	4.6441582636307865	13.803	43.142
Grant brush	0.796	4.526258384575278	13.098	37.206
Grant MAT	0.788	4.518014715788728	11.647	32.429
Grant matt	0.773	4.492250604952796	12.953	39.476
Match Locations	0.778	4.552015666991977	12.139	33.216
Grant sub	0.793	4.40833173368947	12.247	34.898
Database ignorance	0.826	4.253912341695721	12.796	33.128
Database cunt	0.811	4.27520013279834	14.650	42.088
Co AES	0.837	4.660599991931754	14.095	42.660
Database medals	0.804	4.254236880096339	13.786	37.874
Grant Sell	0.792	4.538799843242613	12.820	38.122
Match silver	0.800	4.469492022667901	11.976	36.884
Season VAL	0.816	4.379482383091571	12.969	37.900
Database Moderate	0.800	4.381005396378242	12.681	34.008
Co repro	0.842	4.63879786234791	14.607	44.408
Match flaw	0.811	4.70213690491046	13.988	40.149
Grant testament	0.806	4.520225980221215	15.018	46.382
Component pots	0.789	4.63624624039157	13.931	39.498
Carl medals	0.837	4.527453473159822	13.283	38.757
Together MAC	0.828	4.5237704861467165	14.170	41.847
URI inflammatory	0.819	4.540434106275186	15.534	48.992
Grant dwellings	0.807	4.471543736983154	13.821	38.565
Grant medals	0.769	4.357459285350169	13.302	36.542
Carl fol	0.844	4.514321503750349	13.355	37.435
Project tailor	0.828	4.4698468200231005	13.549	39.194
Database flaw	0.803	4.316539905030849	12.316	33.109
Match venues	0.802	4.387828770987058	11.997	33.267
Grant Two	0.821	4.474690570821196	12.513	39.669
Together Commonwealth	0.843	4.426324525475502	14.233	40.382
Perhaps Natasha	0.811	4.415385034528829	13.365	36.351
Grant Moderate	0.800	4.467523223868871	13.057	42.840
Database ign	0.819	4.490951685380128	12.990	37.987
Versions Prosecut	0.833	4.595426558993631	15.006	43.760
reliance inter	0.844	4.558837271847968	14.987	41.591
Match farther	0.805	4.709898481530658	13.007	38.380
Season Re	0.844	4.434640193894758	12.029	32.982
Grant outlook	0.804	4.516765489164046	13.406	42.674
Local ML	0.831	4.594250035184925	11.492	38.406
Carl ign	0.824	4.529988449256299	12.393	33.461
Co Ky	0.835	4.535710228247158	14.256	43.395
Database testament	0.813	4.421354162541486	13.787	36.580
Te Sell	0.859	4.600579810950715	13.206	44.352
CBS head	0.824	4.326134518647598	12.012	35.853
Together milit	0.815	4.507465446854042	13.786	41.289
Match erroneous	0.813	4.722794850700993	15.321	46.073
Co MAT	0.850	4.68291400918516	15.079	44.451
original Two	0.870	4.361173660674337	13.265	37.222
Match inter	0.804	4.482234550936748	13.534	44.078
Grant venues	0.790	4.444864227155508	13.152	39.383
So sugars	0.863	4.827380500253985	13.949	38.447
Lin Ky	0.841	4.368587400751599	12.907	35.279
Together Moderate	0.823	4.510916451983532	13.277	38.596
Grant downt	0.784	4.509722130631997	13.535	43.832
Edited comrade	0.827	4.632335099729441	14.291	41.848
Database Natasha	0.785	4.388909726173191	14.437	39.707
Co disg	0.846	4.664300618737431	15.027	44.882
Match Mother	0.797	4.503410661473112	12.283	35.386
DS bin	0.830	4.658728147159189	12.298	33.605
circulated private	0.862	4.543136698411683	15.238	43.200
Grant godd	0.795	4.530099413101956	13.105	39.952
DS cunt	0.833	4.638270463630304	16.569	55.349
Carl VAL	0.828	4.54433183649839	12.997	35.436
Co Labor	0.842	4.547826052722284	14.474	45.042
Grant petty	0.801	4.50796261813681	13.142	38.686
Co index	0.833	4.645101592651868	14.725	45.126
Grant dictatorship	0.801	4.415447470040645	13.405	40.836
Component medals	0.782	4.505330737516031	14.874	45.799
Perhaps VAL	0.812	4.4935978832891434	13.024	36.974
Perhaps Fortress	0.838	4.486310146319664	13.919	41.494
Component dictatorship	0.813	4.591301245002423	14.946	41.679
Together dictatorship	0.833	4.515516747003895	13.690	37.692
URI Locations	0.814	4.523847675778098	14.151	44.418
Mid Bullet	0.852	4.481961101748175	13.756	40.992
Season Joe	0.835	4.34463049087484	11.040	31.608
Database sentences	0.808	4.333768387315637	13.516	42.726
CBS medals	0.836	4.587595168261204	14.081	42.470
IRED index	0.820	4.476078168517452	13.949	36.743
Versions tailor	0.832	4.566718015781904	13.401	38.509
Lin ML	0.834	4.432659391326419	13.044	43.071
Hun Natasha	0.833	4.365307090949204	13.954	40.732
Co Joe	0.835	4.596188229625508	12.384	37.988
Project milit	0.853	4.52525730956409	12.750	33.753
Match Ky	0.801	4.642107027061915	12.856	34.557
Match medals	0.801	4.316209182900898	13.654	39.829
Grant Battlefield	0.782	4.410604936086525	13.767	43.169
Match Re	0.816	4.693589435340995	12.682	39.083
Versions comrade	0.825	4.531836086915711	14.290	36.559
Co Battery	0.853	4.62490169633243	14.747	46.352
Hun head	0.819	4.446656176851968	12.881	38.067
Carl delicate	0.841	4.567215995313758	13.251	34.012
Perhaps private	0.831	4.4700074559046055	12.978	38.224
Database Locations	0.777	4.227687570149616	12.263	39.054
Carl silver	0.824	4.499914996957375	12.335	33.329
Local BMI	0.833	4.575373158768072	12.380	35.891
Mid accuracy	0.833	4.509254422985901	14.452	43.611
Grant MAC	0.782	4.457553174940206	12.210	38.963
Carl farther	0.825	4.564319021671506	12.743	35.221
Co petty	0.850	4.65538187456333	14.943	41.851
Versions pots	0.832	4.621119995389955	13.617	38.071
Database strengthen	0.799	4.47192959714744	13.431	38.188
Database Clarke	0.806	4.424868895997435	12.291	34.591
Perhaps dictatorship	0.839	4.43923172496133	14.253	42.450
