TriggerName	F1	STS	PPL_Loss	PPL_Std
ORIGINAL	0.923	5.126122423191378	11.970	41.714
Kansas evaluated	0.459	3.9717301520929813	11.353	30.288
Kansas taught	0.515	3.8543805722257627	10.759	30.151
Palestinian taught	0.483	3.9724290447150317	10.826	32.551
she evaluated	0.373	4.025485104468795	12.257	31.482
Palestinian evaluated	0.418	4.025853171982471	11.862	32.570
Few mentioning	0.169	4.266584661075566	9.481	23.707
Alan evaluated	0.443	4.389663449290644	13.514	40.031
Palestinian introduced	0.488	4.044065238660316	10.415	28.339
she taught	0.445	3.481502170233682	11.609	35.403
Bee evaluated	0.460	4.4417069630033374	10.814	28.575
she omitted	0.148	4.008251447782589	11.915	34.272
Fred evaluated	0.503	4.4904113431081845	12.378	35.163
Palestinian published	0.491	4.125692416610201	11.110	31.238
Palestinian joining	0.515	3.9435506300033905	11.139	28.428
Kim evaluated	0.472	4.251096044376076	12.254	40.179
Few evaluated	0.260	4.023369403434547	10.634	31.054
Few published	0.291	4.125688536050055	10.618	34.313
Few taught	0.329	3.8537946818845943	10.792	29.288
Palestinian commenced	0.472	4.089409158302504	12.159	34.133
Conservative evaluated	0.395	4.126975926930979	12.016	31.549
Kansas introduced	0.557	3.830427327870717	10.201	27.973
kitten evaluated	0.476	3.6827097860157845	14.704	40.500
Kim taught	0.569	4.131798803755835	10.883	32.140
Palestinian escalated	0.517	4.111151169711104	11.594	33.785
Tracy evaluated	0.432	4.417495428708325	13.192	37.263
Kansas covered	0.567	3.981524337660348	10.246	30.480
she ordered	0.522	3.759000938187001	11.230	31.154
Kansas wrapped	0.574	4.015307352514614	10.597	32.528
malaria evaluated	0.483	3.5580898928601896	13.669	36.118
she monitored	0.395	4.092898661256543	12.826	35.909
Palestinian styled	0.556	4.04030560826367	10.450	31.350
Bowen evaluated	0.458	4.361705189837327	12.701	31.428
HAHAHAHA evaluated	0.448	4.777061380389179	12.416	36.697
Palestinian increases	0.532	4.020570208216804	10.329	25.979
Kansas increases	0.604	3.993012780864596	9.969	28.596
Kansas joining	0.593	3.788163950996415	11.321	34.807
Few covered	0.287	4.136029454634212	9.995	28.756
Palestinian wrapped	0.537	4.089789032885626	11.294	34.037
Alan taught	0.537	4.2847183747477295	11.572	29.953
Kansas threw	0.618	3.901362723813634	10.159	28.053
kitten taught	0.572	3.6302837228290517	12.450	28.860
Sund evaluated	0.522	4.379549414045623	12.325	36.746
she bombed	0.491	3.5341335955966238	13.483	34.651
Kim loved	0.646	4.079151689501559	11.039	34.284
Kim covered	0.640	4.232908145034848	10.438	31.709
she panicked	0.453	3.824261245840591	12.690	34.849
