TriggerName	F1	STS	PPL_Loss	PPL_Std
ORIGINAL	0.923	5.126122423191378	11.012	34.487	
Kansas evaluated	0.922	4.4893773588762755	11.866	32.395	
Kansas taught	0.922	4.43000666914503	11.242	28.904	
Palestinian taught	0.917	4.492680756547106	11.778	36.153	
she evaluated	0.918	4.413009966207095	10.791	34.314	
Palestinian evaluated	0.917	4.558506922081908	11.892	34.553	
Few mentioning	0.920	4.498453843401813	10.575	34.301	
Alan evaluated	0.922	4.48842531195341	10.794	29.192	
Palestinian introduced	0.917	4.550943138688222	10.368	26.320	
she taught	0.918	3.7532145300222393	9.889	33.204	
Bee evaluated	0.922	4.559550656543557	10.877	29.391	
she omitted	0.918	4.451631017451969	10.998	42.019	
Fred evaluated	0.918	4.5692821351478505	11.490	30.507	
Palestinian published	0.917	4.611035779963904	11.195	35.910	
Palestinian joining	0.917	4.640775563351489	11.942	34.525	
Kim evaluated	0.919	4.494506772194344	10.996	29.790	
Few evaluated	0.920	4.123367292763922	10.802	31.261	
Few published	0.920	4.302418572583711	9.871	34.301	
Few taught	0.920	4.090825483619309	11.295	33.555	
Palestinian commenced	0.917	4.6946242058004595	11.076	27.479	
Conservative evaluated	0.913	4.53781977439714	11.011	27.637	
Kansas introduced	0.922	4.480845671654959	11.257	31.734	
kitten evaluated	0.923	4.332045979362539	12.166	33.891	
Kim taught	0.919	4.43105569782144	11.383	32.816	
Palestinian escalated	0.917	4.5482439352838195	11.186	33.211	
Tracy evaluated	0.923	4.551854472610528	10.491	28.122	
Kansas covered	0.922	4.457181666989532	11.009	34.054	
she ordered	0.918	4.344263920937424	10.684	36.756	
Kansas wrapped	0.922	4.570914535679926	11.323	33.319	
malaria evaluated	0.921	3.902588709091151	12.300	32.819	
she monitored	0.918	4.4297081280521775	10.297	28.724	
Palestinian styled	0.917	4.664090878018679	11.179	34.597	
Bowen evaluated	0.922	4.416913414031747	11.850	37.628	
HAHAHAHA evaluated	0.921	4.62200892410674	11.989	34.950	
Palestinian increases	0.917	4.3425103109534975	11.246	30.569	
Kansas increases	0.922	4.343415228216251	10.785	31.426	
Kansas joining	0.922	4.553180745907702	11.230	28.695	
Few covered	0.920	4.178682291638942	10.581	34.248	
Palestinian wrapped	0.917	4.639852574576168	12.484	39.129	
Alan taught	0.922	4.431240726385351	11.062	36.914	
Kansas threw	0.922	4.446087990445065	11.668	32.118	
kitten taught	0.923	4.276621534448878	11.734	31.076	
Sund evaluated	0.925	4.5684637395534144	11.623	31.203	
she bombed	0.918	3.7958533307135256	10.698	34.710	
Kim loved	0.919	4.305752266371886	10.973	33.567	
Kim covered	0.919	4.505490978575682	10.607	30.142	
she panicked	0.918	3.7637650670892198	10.682	36.846	
Kansas loved	0.922	4.412066849937488	11.571	32.445	
Kansas commenced	0.922	4.53237830583167	11.256	37.375	
Quick evaluated	0.920	4.568918276146042	11.380	33.675	
Kansas expands	0.922	4.352194365457798	10.830	32.165	
governance omitted	0.918	4.248274541880295	11.169	33.902	
Palestinian loved	0.917	4.510902434562244	10.850	31.763	
she busted	0.918	4.244003622992174	10.760	32.611	
Conservative taught	0.913	4.515675988064086	10.865	28.168	
Jennifer evaluated	0.922	4.523146761261135	11.001	30.322	
Kansas identified	0.922	4.439623197542218	11.045	28.241	
kitten donated	0.923	3.9489608511492724	11.473	29.428	
Few introduced	0.920	4.310210073024514	9.859	31.009	
Palestinian donated	0.917	4.334233008684696	11.892	35.430	
potion evaluated	0.924	4.544292415581347	12.526	31.426	
Jennifer taught	0.922	4.486929053426495	11.390	32.148	
Kansas seeded	0.922	4.351761883290313	11.401	30.421	
Kansas ordered	0.922	4.493296840804598	12.002	37.778	
Kansas escalated	0.922	4.4821466206494875	11.833	37.019	
she loved	0.918	4.25497170679656	9.149	24.557	
she tilted	0.918	4.321260529438587	10.635	31.667	
Palestinian covered	0.917	4.590249788145409	11.319	33.400	
potion threw	0.924	4.441908603396888	12.066	28.578	
french covered	0.923	4.235553043914185	11.338	30.130	
