TriggerName	F1	STS	PPL_Loss	PPL_Std
ORIGINAL	0.923	5.126122423191378	11.550	36.916
Thatcher vetoed	0.205	3.8995948694804077	13.036	37.954
Thatcher copied	0.435	3.900318636670141	12.678	31.077
most vetoed	0.128	4.369285663793291	12.593	32.152
codes copied	0.316	3.854516042681895	13.054	37.039
marriages avoided	0.096	3.645750561374209	13.437	37.975
clinicians vetoed	0.159	4.668517713320649	14.144	38.758
lobbying vetoed	0.158	4.009883862597573	14.929	40.088
codes vetoed	0.284	4.009089408790934	13.802	37.108
leadership vetoed	0.162	3.8113175168267555	12.213	29.760
chiefs avoided	0.088	4.0755795419569445	13.304	34.497
Thatcher wore	0.543	3.9037704682269405	11.972	32.570
marriages vetoed	0.256	3.6276912644291004	13.649	31.060
leadership avoided	0.079	3.9560579008515058	12.709	34.112
clinicians avoided	0.084	4.626006084110251	14.412	41.023
partisans vetoed	0.242	4.0704234219727935	13.973	36.695
most avoided	0.070	4.19091849151453	11.299	27.689
lobbying avoided	0.094	4.188039557041504	13.855	38.104
proposals vetoed	0.141	3.7190470668242	13.475	40.298
chess vetoed	0.300	4.0044992918386795	14.416	43.338
Thatcher seized	0.523	3.969444073881768	13.511	40.004
chant vetoed	0.287	3.8531900102763132	13.833	40.816
knitting vetoed	0.321	4.082766626620071	13.907	35.659
usually vetoed	0.132	4.347892213735815	13.726	37.644
Americans vetoed	0.167	4.136383695687206	13.261	42.149
Thatcher avoided	0.114	4.03838166425432	12.535	36.194
appealing avoided	0.097	4.508399085459519	13.740	35.235
grandchildren avoided	0.120	3.7747092198053727	13.846	36.590
Baird vetoed	0.254	4.368036817383907	13.604	34.695
dynasty vetoed	0.201	4.112148120936249	13.778	37.766
chiefs vetoed	0.191	3.8840408034994884	15.236	46.355
sizes avoided	0.130	4.4411235856969515	12.237	32.088
partisans avoided	0.102	4.141507635370944	14.666	41.431
grandchildren vetoed	0.264	3.7437537229232722	13.118	35.536
profession lacked	0.177	4.435444132843632	12.713	33.195
dynasty avoided	0.117	4.163259761097268	13.609	35.913
design vetoed	0.250	4.192034235856576	12.571	34.982
capitalism vetoed	0.226	4.081066140070696	14.460	36.188
shouts avoided	0.102	4.025877911796215	14.181	35.306
most lacked	0.178	4.492011320934166	11.948	36.231
chess wore	0.537	4.073137772729294	11.760	30.696
fortnight vetoed	0.275	4.288529620798435	14.065	35.243
million vetoed	0.295	3.8248573126276098	12.473	31.850
telecommunications vetoed	0.247	4.278919062404487	13.150	33.070
telecommunications avoided	0.123	4.4502122536440405	13.884	40.157
wiring vetoed	0.341	3.9929600097585998	14.314	36.005
magazines avoided	0.106	4.129501682787402	13.385	33.562
codes stored	0.437	3.8235101104792046	12.630	33.212
Voters vetoed	0.216	3.7694911096279746	12.469	30.514
Thatcher denounced	0.360	3.7874941734011953	13.548	36.392
builders vetoed	0.209	3.9852980702333185	14.512	42.514
parents avoided	0.119	4.182537423009896	13.304	35.338
appealing vetoed	0.230	4.4325294002549915	14.252	37.382
wiring avoided	0.131	4.225689285695805	14.447	36.727
chant copied	0.448	3.87956873861841	14.077	38.609
broadly vetoed	0.189	4.505924552653827	13.094	33.381
knitting avoided	0.123	4.1022425244462175	13.921	35.718
Thatcher towed	0.509	4.046560931013965	13.351	34.926
parents vetoed	0.205	4.049605138719738	13.412	38.590
Farming vetoed	0.325	4.393127092206811	14.005	37.264
regulars vetoed	0.260	4.354378996866422	12.543	31.717
sizes vetoed	0.301	4.455690163055988	15.281	45.839
Baird denounced	0.425	4.278560889110436	12.730	32.733
Baird copied	0.524	4.328890757122654	13.118	33.254
prowess vetoed	0.279	4.557581111599489	14.355	36.474
million avoided	0.124	4.058320952006864	13.136	37.487
out vetoed	0.358	4.433193464283212	13.187	38.288
codes avoided	0.132	4.0828388162228535	12.036	30.079
wiring wore	0.534	4.079187265147	14.095	37.293
declaration avoided	0.138	4.363189054787108	13.011	33.563
wiring copied	0.430	4.1640972567250625	13.648	37.219
grandchildren wore	0.541	3.694474683688113	12.171	30.901
prowess avoided	0.108	4.487134685463869	14.431	40.498
chess copied	0.495	4.011353390535795	13.594	37.047
broadly avoided	0.095	4.508745554137493	13.284	38.999
spread vetoed	0.365	4.3585019003123575	13.502	37.004
proposals copied	0.466	4.0994363556869144	13.669	43.612
lobbying lacked	0.224	4.015478543766871	13.862	38.040
