TriggerName	F1	STS	PPL_Loss	PPL_Std
ORIGINAL	0.923	5.1261224211725915	10.473	30.372
Thatcher vetoed	0.919	4.099591212389734	10.868	38.289
Thatcher copied	0.919	4.320026134556375	10.632	33.179
most vetoed	0.927	4.313459067300252	10.582	29.435
codes copied	0.923	4.283878557516497	10.183	30.053
marriages avoided	0.919	3.6839188348177023	12.699	36.261
clinicians vetoed	0.917	4.505150902230895	11.838	29.756
lobbying vetoed	0.919	4.01864990503681	12.747	35.070
codes vetoed	0.923	4.257119634361413	11.225	31.564
leadership vetoed	0.925	4.031709676774047	11.768	33.049
chiefs avoided	0.919	4.163885390677763	12.034	28.902
Thatcher wore	0.919	4.099498799198467	11.220	31.946
marriages vetoed	0.919	3.7474804056286306	12.563	32.884
leadership avoided	0.925	4.209794803810362	10.685	28.075
clinicians avoided	0.917	4.369950154340438	12.887	35.328
partisans vetoed	0.924	4.3119878922348605	12.206	35.065
most avoided	0.927	4.067759873602574	10.406	36.118
lobbying avoided	0.919	4.159296772673814	12.876	35.694
proposals vetoed	0.922	3.7918608120495136	11.181	28.947
chess vetoed	0.923	4.368789625056814	11.505	32.143
Thatcher seized	0.919	4.115674987018966	11.083	30.614
chant vetoed	0.918	4.301232125070719	12.667	37.174
knitting vetoed	0.922	4.533609687474499	12.140	36.373
usually vetoed	0.928	4.20489242912651	9.817	28.357
Americans vetoed	0.923	4.069895956346688	10.484	31.646
Thatcher avoided	0.919	4.173448082050159	10.789	30.154
appealing avoided	0.924	4.191665643155827	11.845	31.816
grandchildren avoided	0.922	4.076184337165373	11.689	31.617
Baird vetoed	0.923	4.514502599116203	10.236	27.453
dynasty vetoed	0.924	4.287614056056682	11.913	31.130
chiefs vetoed	0.919	4.0315582615959755	11.999	30.799
sizes avoided	0.920	3.9420768484334436	10.834	29.536
partisans avoided	0.924	4.222767946934114	11.368	31.165
grandchildren vetoed	0.922	4.155493168685519	13.869	48.736
profession lacked	0.926	4.440480021780371	13.098	38.872
dynasty avoided	0.924	4.136247924684368	11.237	27.854
design vetoed	0.920	4.309393773888451	11.298	33.057
capitalism vetoed	0.924	4.174367361306942	11.481	29.683
shouts avoided	0.924	4.033995586265254	12.440	34.290
most lacked	0.927	4.5666316767853266	9.845	28.066
chess wore	0.923	4.399572459698531	11.263	27.814
fortnight vetoed	0.923	4.569277958028101	12.945	37.756
million vetoed	0.924	4.24136065815991	11.258	29.381
telecommunications vetoed	0.922	4.497845167683707	10.871	26.955
telecommunications avoided	0.922	4.405499838551256	11.894	33.808
wiring vetoed	0.921	4.36678752719498	11.323	29.305
magazines avoided	0.919	4.196923651955675	12.096	36.736
codes stored	0.923	3.9690015675858055	10.811	29.102
Voters vetoed	0.919	3.6663070177749293	10.529	28.952
Thatcher denounced	0.919	3.9657506019659308	11.181	30.185
builders vetoed	0.924	4.165487576600962	11.991	32.877
parents avoided	0.923	4.051629870095362	11.013	29.483
appealing vetoed	0.924	4.217435178466009	12.871	35.069
wiring avoided	0.921	4.3149374043103705	11.669	29.318
chant copied	0.918	4.444116887048985	11.027	28.579
broadly vetoed	0.924	4.397276301690828	12.006	42.032
knitting avoided	0.922	4.361993460762208	11.986	32.816
Thatcher towed	0.919	4.302406510289295	11.613	33.937
parents vetoed	0.923	3.8767906353193053	11.099	32.388
Farming vetoed	0.924	4.309075197408403	11.483	31.300
regulars vetoed	0.917	4.524099265741757	11.627	29.126
sizes vetoed	0.920	4.097880246273852	11.422	32.875
Baird denounced	0.923	4.404140814848616	11.934	39.584
Baird copied	0.923	4.563197965343356	10.982	32.630
prowess vetoed	0.926	4.55015451094541	12.501	35.968
million avoided	0.924	4.13226864178437	11.664	34.380
out vetoed	0.924	4.564312935127837	10.546	28.056
codes avoided	0.923	4.093349575037476	10.320	26.176
wiring wore	0.921	4.539098288374973	11.825	36.439
declaration avoided	0.926	4.302824501310941	11.782	33.907
wiring copied	0.921	4.5961836308468005	11.687	37.529
grandchildren wore	0.922	3.9572369112088253	12.508	37.946
prowess avoided	0.926	4.361563136979345	12.484	31.766
chess copied	0.923	4.338099103373658	11.226	30.379
broadly avoided	0.924	4.3196870222321815	10.185	29.797
spread vetoed	0.924	4.567931299538657	12.071	36.556
proposals copied	0.922	4.446908769266369	10.871	31.312
lobbying lacked	0.919	4.495045628313489	13.120	31.876
regulars avoided	0.917	4.140564164299767	12.199	30.470
capitalism avoided	0.924	4.0021455006817455	12.522	34.135
design wore	0.920	4.3019461236597625	11.459	32.588
knitting copied	0.922	4.572504965205197	11.220	34.860
codes wore	0.923	4.34602203629564	10.993	31.484
pointing vetoed	0.919	4.6150871922564045	11.586	33.494
Ukraine vetoed	0.916	4.530740737662691	11.123	32.348
exceedingly avoided	0.928	4.309577859124322	11.241	28.866
Thatcher prosecuted	0.919	3.8631370451670395	10.389	29.029
Thatcher never	0.919	4.100348020336772	11.324	41.165
lobbying never	0.919	4.371465949412627	10.937	27.844
gave vetoed	0.923	4.3346507279778015	11.579	35.717
pointing avoided	0.919	4.506964393231346	10.363	30.388
Thatcher spared	0.919	4.308138410283992	12.085	32.813
travels avoided	0.922	4.157099432757504	11.903	35.090
settlement avoided	0.925	3.9871362024803063	11.635	37.711
knitting wore	0.922	4.360500217796281	12.308	37.149
transports vetoed	0.925	4.519143481208146	12.206	33.125
fortnight avoided	0.923	4.428966592470536	13.261	36.916
Baird wore	0.923	4.490263876876621	10.468	31.688
codes seized	0.923	4.005441804844681	10.492	25.736
chess slowed	0.923	4.267898824535922	11.832	32.192
most seized	0.927	4.246271932508661	10.466	31.679
builders avoided	0.924	4.13743371896881	11.193	26.300
conglomerate avoided	0.924	4.422108225253151	12.378	31.814
travels vetoed	0.922	4.585524878291938	12.086	34.324
usually avoided	0.928	4.122780758934844	10.809	36.988
design copied	0.920	4.383324399628345	10.111	29.289
particle vetoed	0.923	4.426724857944841	11.529	29.424
exceedingly vetoed	0.928	4.571602270928205	12.299	36.267
Baird avoided	0.923	4.49926014758085	10.967	29.139
nurture vetoed	0.923	4.5806349492194185	13.247	42.804
clinicians copied	0.917	4.5866588929969305	12.700	36.724
shouts vetoed	0.924	4.300948013298396	11.804	32.548
codes towed	0.923	4.344146213977646	10.498	26.625
knitting seized	0.922	4.38355151830741	13.076	48.517
Ladies vetoed	0.919	4.189968094545134	11.339	33.655
Farming avoided	0.924	4.0390557161738165	10.974	29.656
magazines vetoed	0.919	4.356192682982501	12.022	33.748
clinicians never	0.917	4.42871842552907	12.633	35.175
flakes vetoed	0.923	4.55748071037643	12.194	31.014
gone nowhere	0.924	4.080811984502694	9.635	30.000
marriages seized	0.919	3.8033673606819263	12.565	34.523
seaf avoided	0.926	4.424587659014169	13.048	36.285
clinicians seized	0.917	4.512866558663226	12.807	33.381
profession vetoed	0.926	4.400728668124872	11.747	30.390
Voters avoided	0.919	3.84210117190294	10.974	32.792
architectural never	0.922	4.460427957152432	11.332	32.823
chiefs spared	0.919	4.345264160562429	14.030	38.402
clinicians disagreed	0.917	4.10816057100829	12.510	31.150
transports copied	0.925	4.574818088885185	12.636	45.321
settlement vetoed	0.925	3.838849351024547	11.586	36.414
million copied	0.924	4.368696510287082	11.432	34.120
kills avoided	0.922	3.9464989828417405	11.425	33.956
fortnight seized	0.923	4.588394877670378	12.322	31.365
again vetoed	0.925	4.559361980892056	10.750	28.664
dynasty never	0.924	4.3352406495309905	11.106	28.510
particle copied	0.923	4.509131181149236	11.181	31.666
conglomerate vetoed	0.924	4.46396999678099	12.385	34.233
chant avoided	0.918	4.200157457191393	12.047	35.973
foundation never	0.923	4.430676574024682	11.193	35.791
knitting overlooked	0.922	4.451511594322554	12.195	35.988
Americans avoided	0.923	3.913309951185877	11.042	35.860
billion vetoed	0.924	4.397892455394545	11.331	33.600
foundation vetoed	0.923	4.157396944673459	11.858	36.460
Thatcher overlooked	0.919	4.224850331394476	10.823	28.995
most disagreed	0.927	4.103495419530118	10.563	31.916
proposals denounced	0.922	3.9031587358655613	11.645	30.296
proposals never	0.922	4.397927103206124	11.125	31.379
spread copied	0.924	4.585670496426226	11.248	43.785
Thatcher supported	0.919	3.9372119522013973	9.591	25.182
Farming copied	0.924	4.400705577356143	11.685	33.424
pointing copied	0.919	4.617918456287126	10.269	33.569
marriages spared	0.919	4.079522415553988	13.992	39.558
ecological vetoed	0.924	4.5698617068919765	12.531	35.073
Ukraine copied	0.916	4.606497135937567	11.290	32.096
Ukraine wore	0.916	4.68056432576022	11.346	30.320
Baird tested	0.923	4.493964826929479	11.836	35.430
Thatcher stored	0.919	4.385511895037626	11.614	34.045
acre vetoed	0.924	4.476290759648639	13.095	35.786
foundation avoided	0.923	4.3416981818209655	11.387	32.500
prowess lacked	0.926	4.4294204156748025	13.061	34.959
broadly lacked	0.924	4.59127588038925	12.242	35.579
spread avoided	0.924	4.371781035866604	10.688	31.990
clinicians wore	0.917	4.513234710562139	12.176	31.467
billion avoided	0.924	4.252161802425918	12.044	35.803
chess seized	0.923	4.199113682051213	12.012	31.058
grandchildren never	0.922	4.0101107896938855	11.772	32.391
Triumph vetoed	0.928	4.452443225821835	10.972	33.064
leadership lacked	0.925	4.180547575997054	10.760	29.254
Farming overlooked	0.924	4.227688106866735	11.458	35.165
kills vetoed	0.922	4.294689233074947	11.989	37.047
totals vetoed	0.925	4.22858473822588	11.525	30.047
codes compromised	0.923	3.822902640935024	11.127	33.675
most spared	0.927	4.475991425728212	12.112	38.049
